,price_raw,state
2015/11/18,3715.58,mb
2015/11/19,3774.969,mb
2015/11/20,3774.383,mb
2015/11/23,3753.335,mb
2015/11/24,3753.889,mb
2015/11/25,3781.607,mb
2015/11/26,3759.429,mb
2015/11/27,3556.992,mb
2015/11/30,3566.412,mb
2015/12/1,3591.696,mb
2015/12/2,3721.955,mb
2015/12/3,3749.299,mb
2015/12/4,3677.592,ml
2015/12/7,3687.607,ml
2015/12/8,3623.02,ml
2015/12/9,3635.938,ml
2015/12/10,3623.084,ml
2015/12/11,3608.059,ml
2015/12/14,3711.322,ml
2015/12/15,3694.389,ml
2015/12/16,3685.44,ml
2015/12/17,3755.888,ml
2015/12/18,3767.913,ml
2015/12/21,3865.965,ml
2015/12/22,3876.733,mb
2015/12/23,3866.381,mb
2015/12/24,3829.402,mb
2015/12/25,3838.201,mb
2015/12/28,3727.632,mb
2015/12/29,3761.875,mb
2015/12/30,3765.175,mb
2015/12/31,3731.005,mb
2016/1/4,3469.066,ml
2016/1/5,3478.78,ml
2016/1/6,3539.808,ml
2016/1/7,3294.384,ml
2016/1/8,3361.563,bl
2016/1/11,3192.45,bl
2016/1/12,3215.71,bl
2016/1/13,3155.879,bl
2016/1/14,3221.571,bl
2016/1/15,3118.73,bl
2016/1/18,3130.7289,bl
2016/1/19,3223.1251,bl
2016/1/20,3174.3781,bl
2016/1/21,3081.3454,bl
2016/1/22,3113.4626,bl
2016/1/25,3128.886,bl
2016/1/26,2940.5085,bl
2016/1/27,2930.352,bl
2016/1/28,2853.7562,bl
2016/1/29,2946.0902,bl
2016/2/1,2901.0477,bl
2016/2/2,2961.3337,bl
2016/2/3,2948.6386,bl
2016/2/4,2984.7598,bl
2016/2/5,2963.7894,bl
2016/2/15,2946.7066,bl
2016/2/16,3037.0353,bl
2016/2/17,3063.3199,bl
2016/2/18,3053.6985,bl
2016/2/19,3051.585,bl
2016/2/22,3118.8675,bl
2016/2/23,3089.3632,ml
2016/2/24,3109.5454,ml
2016/2/25,2918.7501,ml
2016/2/26,2948.0306,ml
2016/2/29,2877.4666,bl
2016/3/1,2930.6937,bl
2016/3/2,3051.3327,bl
2016/3/3,3058.4219,bl
2016/3/4,3093.8895,bl
2016/3/7,3104.8397,bl
2016/3/8,3107.6727,bl
2016/3/9,3071.907,mb
2016/3/10,3013.1457,mb
2016/3/11,3018.2844,mb
2016/3/14,3065.6904,mb
2016/3/15,3074.7796,mb
2016/3/16,3090.0328,mb
2016/3/17,3124.2039,mb
2016/3/18,3171.963,mb
2016/3/21,3249.4372,mb
